country,iso_code,outcome,model,cooks_distance,studentized_residual,hat_value,cooks_threshold_4_over_n,flag_influential,flag_large_studentized_residual
Vanuatu,VUT,daly_rate,M2_primary,0.014562401524714498,-1.3931433073977464,0.07668618445246406,0.025,False,False
Tanzania,TZA,daly_rate,M2_primary,0.013878156101507512,-1.5713068925531595,0.058770417047843235,0.025,False,False
Trinidad and Tobago,TTO,daly_rate,M2_primary,0.013720585722472065,1.5933818787653238,0.056657494337718654,0.025,False,False
Fiji,FJI,daly_rate,M2_primary,0.012554123612412135,1.5183103243313218,0.056985491528635954,0.025,False,False
Sudan,SDN,daly_rate,M2_primary,0.01120546718705953,-2.1042261727168654,0.027689840990160617,0.025,False,True
India,IND,daly_rate,M2_primary,0.011183366725798083,0.7663260019723853,0.17280006867929798,0.025,False,False
Myanmar,MMR,daly_rate,M2_primary,0.009801136109701215,1.247675218110573,0.06499773973944925,0.025,False,False
Mauritius,MUS,daly_rate,M2_primary,0.009364937655928659,-0.8759353222620974,0.11820653233468711,0.025,False,False
Samoa,WSM,daly_rate,M2_primary,0.009181720477576033,-1.0655847677799315,0.08175148685169811,0.025,False,False
Russia,RUS,daly_rate,M2_primary,0.00899395066419637,1.9934488817834348,0.024764248718396654,0.025,False,False
Nigeria,NGA,daly_rate,M2_primary,0.008371056116308818,1.518375251849542,0.03873009392356016,0.025,False,False
Gabon,GAB,daly_rate,M2_primary,0.008151716250994591,0.9755794054349519,0.08607669807205733,0.025,False,False
Pakistan,PAK,daly_rate,M2_primary,0.008015954732047687,0.937894753316869,0.09104024998821245,0.025,False,False
Saudi Arabia,SAU,daly_rate,M2_primary,0.007094016845696663,0.8859492824712732,0.09030950142804736,0.025,False,False
Senegal,SEN,daly_rate,M2_primary,0.006999462088573982,-1.6007318959083645,0.029468622083019723,0.025,False,False
Qatar,QAT,daly_rate,M2_primary,0.006929068739819939,-0.7306709766724421,0.12458784434539535,0.025,False,False
Sierra Leone,SLE,daly_rate,M2_primary,0.0063970129284118965,1.5859789465931962,0.027483160387907813,0.025,False,False
Iraq,IRQ,daly_rate,M2_primary,0.006344053630544722,1.0480205430203293,0.05977742127210609,0.025,False,False
Egypt,EGY,daly_rate,M2_primary,0.006230679617472677,0.8494041097274874,0.08660545630989824,0.025,False,False
Israel,ISR,daly_rate,M2_primary,0.0061490167681833695,-0.9399884216074963,0.07105640457436298,0.025,False,False
Cameroon,CMR,daly_rate,M2_primary,0.006098020648540986,1.042211977809302,0.05819449124676966,0.025,False,False
Ukraine,UKR,daly_rate,M2_primary,0.005801974810758431,1.1904652134043223,0.043208268757596514,0.025,False,False
Syria,SYR,daly_rate,M2_primary,0.0056236210040451744,-0.7489126944141735,0.09907275339630078,0.025,False,False
China,CHN,daly_rate,M2_primary,0.0056009528845487365,-0.9450643699260142,0.06448671073076505,0.025,False,False
South Africa,ZAF,daly_rate,M2_primary,0.005525710839931874,0.9604406314275775,0.0617894054403308,0.025,False,False
Suriname,SUR,daly_rate,M2_primary,0.005205954940238089,1.0080047185554957,0.05335812020496991,0.025,False,False
Angola,AGO,daly_rate,M2_primary,0.005098870589349256,1.0688389101297242,0.04684061612877556,0.025,False,False
Belarus,BLR,daly_rate,M2_primary,0.004939611887070564,1.3216651235246155,0.030314122512818342,0.025,False,False
Malawi,MWI,daly_rate,M2_primary,0.004768684717525303,-0.7829825466600212,0.07863060673167604,0.025,False,False
Singapore,SGP,daly_rate,M2_primary,0.004727759468233705,-0.5977110295770197,0.1265917335721608,0.025,False,False
South Korea,KOR,daly_rate,M2_primary,0.004507336657253539,-0.7537322637856103,0.0800535092778911,0.025,False,False
Bangladesh,BGD,daly_rate,M2_primary,0.00420997176080938,0.4678684274491811,0.17385857271269747,0.025,False,False
Belize,BLZ,daly_rate,M2_primary,0.004184849379884059,-0.8429668906311383,0.06072925006992399,0.025,False,False
Oman,OMN,daly_rate,M2_primary,0.004106597069574114,-0.758351077749184,0.07263479430128478,0.025,False,False
Colombia,COL,daly_rate,M2_primary,0.0040339217182655766,-0.902986296427038,0.05155058147560021,0.025,False,False
Lithuania,LTU,daly_rate,M2_primary,0.003939043316599528,1.332151708804002,0.023955092434607944,0.025,False,False
Gambia,GMB,daly_rate,M2_primary,0.003887560878249451,-0.9589545127398319,0.04441295809785686,0.025,False,False
Latvia,LVA,daly_rate,M2_primary,0.003848340566815642,1.2339563628911987,0.027141689979765442,0.025,False,False
Mali,MLI,daly_rate,M2_primary,0.0038318986228142015,1.1881235953295801,0.029071592336867718,0.025,False,False
Cambodia,KHM,daly_rate,M2_primary,0.003781796348432703,-0.8140503665152637,0.05894142237687555,0.025,False,False
Vietnam,VNM,daly_rate,M2_primary,0.0033844012516164703,-0.6640034638854213,0.07759319793843658,0.025,False,False
Bulgaria,BGR,daly_rate,M2_primary,0.003315933679376133,1.054280524648745,0.031796384867325056,0.025,False,False
Chile,CHL,daly_rate,M2_primary,0.003265296658958592,-0.7678191606204796,0.057277406085344595,0.025,False,False
Bosnia and Herzegovina,BIH,daly_rate,M2_primary,0.003107988317690839,-0.6544160935419717,0.07366520899955054,0.025,False,False
Lesotho,LSO,daly_rate,M2_primary,0.0030118443345419203,1.0593892932698483,0.028696269763717527,0.025,False,False
Antigua and Barbuda,ATG,daly_rate,M2_primary,0.002926714528470943,-0.4808600981328747,0.12166094722003912,0.025,False,False
Ethiopia,ETH,daly_rate,M2_primary,0.002813470567679341,-0.6480219282385731,0.06839046303619215,0.025,False,False
Madagascar,MDG,daly_rate,M2_primary,0.002748973098390473,-0.9165563685146252,0.034708582278795794,0.025,False,False
United Arab Emirates,ARE,daly_rate,M2_primary,0.002716214790782155,-0.5206649573990478,0.09883579240507799,0.025,False,False
Rwanda,RWA,daly_rate,M2_primary,0.0026445724835469594,-0.9383282728637624,0.031958327442095015,0.025,False,False
Cote d'Ivoire,CIV,daly_rate,M2_primary,0.002492031741003361,0.89407908689587,0.033111998836226675,0.025,False,False
Albania,ALB,daly_rate,M2_primary,0.0024552017402169326,-0.9577873902288542,0.028582909141926325,0.025,False,False
Costa Rica,CRI,daly_rate,M2_primary,0.0024386060865162766,-0.727070460981998,0.048147622542440136,0.025,False,False
Afghanistan,AFG,daly_rate,M2_primary,0.0022994180403159183,0.4146547668926423,0.12762101243647933,0.025,False,False
Mozambique,MOZ,daly_rate,M2_primary,0.002050027740933332,-0.7739315918376029,0.03618836557236485,0.025,False,False
Guinea,GIN,daly_rate,M2_primary,0.0019976623672248728,0.8753349224755612,0.02783705952150487,0.025,False,False
Peru,PER,daly_rate,M2_primary,0.00192352497649171,-0.5645353585806688,0.061990494425534434,0.025,False,False
Saint Kitts and Nevis,KNA,daly_rate,M2_primary,0.0019039934505211012,0.41999603264513197,0.10560617489029639,0.025,False,False
Hungary,HUN,daly_rate,M2_primary,0.001903201372851431,0.8981681821856118,0.025263048770194113,0.025,False,False
Malta,MLT,daly_rate,M2_primary,0.0018660770473207262,-0.3780710036059169,0.12494164403776163,0.025,False,False
